"ocupacao_codigo","ocupacao_nome","ocupacao_nivel_superior","Ano","Trimestre","periodo","peso_total_ocupados_ocupacao","registros_total_ocupados_ocupacao","peso_universo_superior_completo_classificado_ocupacao","registros_universo_superior_completo_classificado_ocupacao","peso_sobreeducados","registros_sobreeducados","percentual_sobreeducados_no_total_ocupados_ocupacao","percentual_sobreeducados_entre_superior_completo_classificado_ocupacao","peso_sobreeducados_total_periodo","participacao_da_ocupacao_no_total_sobreeducados_periodo","registros_com_ocupacao_e_peso_valido","registros_com_rendimento_habitual","rendimento_habitual_medio_ponderado","registros_com_rendimento_efetivo","rendimento_efetivo_medio_ponderado"
"3255","Técnicos e assistentes fisioterapeutas",0,2025,4,"2025-T4",57435.17909347,139,13963.27909578,31,13963.27909578,31,24.3114,100,13434052.8383617,0.1039,139,133,3646.57158641472,127,3711.23678699886
"9211","Trabalhadores elementares da agricultura",0,2025,4,"2025-T4",1457235.95662394,4501,13791.05528602,35,13791.05528602,35,0.9464,100,13434052.8383617,0.1027,4501,3907,1344.48084171788,3699,1394.51906901342
"5321","Trabalhadores de cuidados pessoais em instituições",0,2025,4,"2025-T4",88903.31997204,157,13682.46197236,21,13682.46197236,21,15.3903,100,13434052.8383617,0.1018,157,154,2257.11814569991,152,2455.27689396879
"1341","Dirigentes de serviços de cuidados infantis",0,2025,4,"2025-T4",15521.3351126,30,13417.08699636,25,13417.08699636,25,86.4429,100,13434052.8383617,0.0999,30,30,5580.16508440473,30,5704.20988146758
"3153","Pilotos de aviação e afins",0,2025,4,"2025-T4",19317.75630166,37,13397.97754218,20,13397.97754218,20,69.3558,100,13434052.8383617,0.0997,37,37,15474.2789595651,36,16171.9087198136
"1411","Gerentes de hotéis",0,2025,4,"2025-T4",33517.62339117,93,13343.25044134,40,13343.25044134,40,39.8097,100,13434052.8383617,0.0993,93,90,9473.31375678108,90,9635.33933739374
"7212","Soldadores e oxicortadores",0,2025,4,"2025-T4",319142.65512545,589,13206.46182193,18,13206.46182193,18,4.1381,100,13434052.8383617,0.0983,589,589,3005.9062159625,581,3256.71274813475
"4313","Trabalhadores encarregados de folha de pagamento",0,2025,4,"2025-T4",37809.68359532,61,13069.32627195,22,13069.32627195,22,34.5661,100,13434052.8383617,0.0973,61,60,4167.47293265785,59,4606.42510945831
"8211","Mecânicos montadores de maquinaria mecânica",0,2025,4,"2025-T4",106075.28084761,139,12965.4658058,15,12965.4658058,15,12.2229,100,13434052.8383617,0.0965,139,139,3097.66043684082,136,3313.59351304564
"4415","Trabalhadores de arquivos",0,2025,4,"2025-T4",50159.6499229,107,12631.52488475,27,12631.52488475,27,25.1826,100,13434052.8383617,0.094,107,106,2652.20236894687,106,2836.49411773557
