"unidade_da_federacao","Ano","Trimestre","periodo","peso_universo","registros_universo","peso_sobreeducados","registros_sobreeducados","percentual_sobreeducados_no_grupo","peso_sobreeducados_total_periodo","participacao_do_grupo_no_total_sobreeducados_periodo","uf_nome"
"PR",2024,4,"2024-T4",1005034.20376876,1922,607567.28877556,1186,60.4524,9514511.90631895,6.3857,"Parana"
"RJ",2024,4,"2024-T4",1611763.91379554,2942,820836.78031575,1509,50.9279,9514511.90631895,8.6272,"Rio de Janeiro"
"RN",2024,4,"2024-T4",199360.78448907,509,127760.82395246,315,64.0852,9514511.90631895,1.3428,"Rio Grande do Norte"
"RO",2024,4,"2024-T4",113061.2827502,424,71597.02763712,282,63.3259,9514511.90631895,0.7525,"Rondonia"
"RR",2024,4,"2024-T4",47108.67411118,389,30261.74414529,244,64.2382,9514511.90631895,0.3181,"Roraima"
"RS",2024,4,"2024-T4",896256.33776903,1946,511036.04223006,1081,57.019,9514511.90631895,5.3711,"Rio Grande do Sul"
"SC",2024,4,"2024-T4",732816.9779099,2492,448524.06521208,1517,61.2055,9514511.90631895,4.7141,"Santa Catarina"
"SE",2024,4,"2024-T4",134615.85393721,426,79051.03337147,251,58.7234,9514511.90631895,0.8308,"Sergipe"
"SP",2024,4,"2024-T4",4444590.42773373,3335,2619577.52827617,1989,58.9386,9514511.90631895,27.5324,"Sao Paulo"
"TO",2024,4,"2024-T4",116880.62768058,479,70898.74680134,295,60.6591,9514511.90631895,0.7452,"Tocantins"
"AC",2025,4,"2025-T4",61119.16940738,588,41133.99360399,402,67.3013,9824366.34822053,0.4187,"Acre"
"AL",2025,4,"2025-T4",157821.25039725,850,80919.96053127,440,51.2732,9824366.34822053,0.8237,"Alagoas"
"AM",2025,4,"2025-T4",257094.83005957,783,152388.01513735,465,59.2731,9824366.34822053,1.5511,"Amazonas"
"AP",2025,4,"2025-T4",67604.9370959,361,37329.92436688,212,55.2177,9824366.34822053,0.38,"Amapa"
"BA",2025,4,"2025-T4",826438.50802893,1176,463373.371041,668,56.0687,9824366.34822053,4.7166,"Bahia"
"CE",2025,4,"2025-T4",457178.48881922,1028,270349.66800123,628,59.1344,9824366.34822053,2.7518,"Ceara"
"DF",2025,4,"2025-T4",450794.4055161,1192,251886.25497687,682,55.8761,9824366.34822053,2.5639,"Distrito Federal"
"ES",2025,4,"2025-T4",323817.19908015,1339,190117.39792257,769,58.7113,9824366.34822053,1.9352,"Espirito Santo"
"GO",2025,4,"2025-T4",665872.19233176,1375,418048.06487227,848,62.782,9824366.34822053,4.2552,"Goias"
"MA",2025,4,"2025-T4",301144.99662188,1003,173415.144751,599,57.5853,9824366.34822053,1.7652,"Maranhao"
"MG",2025,4,"2025-T4",1661357.10998376,2765,967470.20278602,1578,58.2337,9824366.34822053,9.8477,"Minas Gerais"
"MS",2025,4,"2025-T4",232206.66678702,871,134925.66588818,512,58.1059,9824366.34822053,1.3734,"Mato Grosso do Sul"
"MT",2025,4,"2025-T4",335244.51643322,1094,216783.8565793,723,64.6644,9824366.34822053,2.2066,"Mato Grosso"
"PA",2025,4,"2025-T4",375715.49734845,839,262036.76101108,566,69.7434,9824366.34822053,2.6672,"Para"
"PB",2025,4,"2025-T4",237758.37655332,919,122960.95295103,460,51.7168,9824366.34822053,1.2516,"Paraiba"
"PE",2025,4,"2025-T4",659094.04375838,1170,345792.41359655,610,52.4648,9824366.34822053,3.5197,"Pernambuco"
"PI",2025,4,"2025-T4",209834.38887996,654,120882.80765587,389,57.6087,9824366.34822053,1.2304,"Piaui"
"PR",2025,4,"2025-T4",1116770.88505174,2490,676875.02937549,1511,60.61,9824366.34822053,6.8898,"Parana"
"RJ",2025,4,"2025-T4",1569994.64095601,2862,753821.83287727,1413,48.0143,9824366.34822053,7.673,"Rio de Janeiro"
"RN",2025,4,"2025-T4",217733.53992197,583,114968.49099197,308,52.8024,9824366.34822053,1.1702,"Rio Grande do Norte"
"RO",2025,4,"2025-T4",131290.36721287,573,75608.47866625,348,57.5887,9824366.34822053,0.7696,"Rondonia"
"RR",2025,4,"2025-T4",57360.13734355,420,38512.02451566,283,67.1407,9824366.34822053,0.392,"Roraima"
"RS",2025,4,"2025-T4",1003179.99166006,2194,597588.36339979,1263,59.5694,9824366.34822053,6.0827,"Rio Grande do Sul"
"SC",2025,4,"2025-T4",783676.33971697,2803,468615.02364156,1669,59.797,9824366.34822053,4.7699,"Santa Catarina"
"SE",2025,4,"2025-T4",143348.2713448,458,70073.21001018,233,48.8832,9824366.34822053,0.7133,"Sergipe"
"SP",2025,4,"2025-T4",4598442.68806923,3592,2695471.05430212,2104,58.617,9824366.34822053,27.4366,"Sao Paulo"
"TO",2025,4,"2025-T4",136002.84837361,604,83018.38476778,379,61.0417,9824366.34822053,0.845,"Tocantins"
