"ano","trimestre","periodo","nivel_instrucao_codigo","nivel_instrucao","referencia_registros_com_ocupacao_e_peso_valido","referencia_registros_com_rendimento_habitual","referencia_rendimento_habitual_medio_ponderado","referencia_registros_com_rendimento_efetivo","referencia_rendimento_efetivo_medio_ponderado","sobreeducados_registros_com_ocupacao_e_peso_valido","sobreeducados_registros_com_rendimento_habitual","sobreeducados_rendimento_habitual_medio_ponderado","sobreeducados_registros_com_rendimento_efetivo","sobreeducados_rendimento_efetivo_medio_ponderado","diferenca_absoluta_rendimento_habitual","diferenca_absoluta_rendimento_efetivo","razao_rendimento_habitual_sobreeducados_sobre_referencia","razao_rendimento_efetivo_sobreeducados_sobre_referencia","diferenca_percentual_rendimento_habitual","diferenca_percentual_rendimento_efetivo"
2025,4,"2025-T4","1","Sem instrucao e menos de 1 ano de estudo",5079,4901,1654.06724396964,4611,1763.41516241958,20062,19828,4799.57918766226,19609,5037.89089616276,3145.51194369262,3274.47573374318,2.9016832327467,2.85689439646774,190.16832327467,185.689439646775
2025,4,"2025-T4","2","Fundamental incompleto ou equivalente",45828,44194,1897.92088254572,42209,1967.58273883173,20062,19828,4799.57918766226,19609,5037.89089616276,2901.65830511653,3070.30815733103,2.5288615725775,2.56044678413578,152.88615725775,156.044678413578
2025,4,"2025-T4","3","Fundamental completo ou equivalente",15355,14886,2204.21860606064,14477,2271.31598229596,20062,19828,4799.57918766226,19609,5037.89089616276,2595.36058160162,2766.5749138668,2.17745153519052,2.21804933150262,117.745153519052,121.804933150262
2025,4,"2025-T4","4","Medio incompleto ou equivalente",14269,13750,2046.31234570805,13370,2124.4713218774,20062,19828,4799.57918766226,19609,5037.89089616276,2753.2668419542,2913.41957428536,2.34547731568395,2.37136215692041,134.547731568395,137.136215692041
2025,4,"2025-T4","5","Medio completo ou equivalente",74804,73573,2527.24772903078,72410,2645.27014412657,20062,19828,4799.57918766226,19609,5037.89089616276,2272.33145863147,2392.62075203619,1.89913285212563,1.90449013585575,89.9132852125631,90.4490135855746
2025,4,"2025-T4","6","Superior incompleto ou equivalente",11065,10851,2996.41287576908,10709,3149.6117203185,20062,19828,4799.57918766226,19609,5037.89089616276,1803.16631189318,1888.27917584426,1.60177498450722,1.59952760642296,60.1774984507224,59.9527606422963
2025,4,"2025-T4","7","Superior completo",34586,34336,6618.17191760645,34053,6893.78260382365,20062,19828,4799.57918766226,19609,5037.89089616276,-1818.59272994419,-1855.89170766089,0.725212225885799,0.730787607570985,-27.4787774114201,-26.9212392429015
