"tipo_ocupacao_classificada","registros_com_ocupacao_e_peso_valido","registros_com_rendimento_habitual","registros_com_rendimento_efetivo","rendimento_habitual_medio_ponderado","rendimento_efetivo_medio_ponderado"
"ocupacoes_marcadas_como_exigem_nivel_superior",15634,15610,15440,9296.36951193785,10009.2286103364
"ocupacoes_marcadas_como_nao_exigem_nivel_superior",183263,178796,173107,2625.1230465979,2871.62707974057
