"ano","trimestre","periodo","nivel_instrucao_codigo","nivel_instrucao","referencia_registros_com_ocupacao_e_peso_valido","referencia_registros_com_rendimento_habitual","referencia_rendimento_habitual_medio_ponderado","referencia_registros_com_rendimento_efetivo","referencia_rendimento_efetivo_medio_ponderado","sobreeducados_registros_com_ocupacao_e_peso_valido","sobreeducados_registros_com_rendimento_habitual","sobreeducados_rendimento_habitual_medio_ponderado","sobreeducados_registros_com_rendimento_efetivo","sobreeducados_rendimento_efetivo_medio_ponderado","diferenca_absoluta_rendimento_habitual","diferenca_absoluta_rendimento_efetivo","razao_rendimento_habitual_sobreeducados_sobre_referencia","razao_rendimento_efetivo_sobreeducados_sobre_referencia","diferenca_percentual_rendimento_habitual","diferenca_percentual_rendimento_efetivo"
2012,1,"2012-T1","1","Sem instrucao e menos de 1 ano de estudo",12773,11419,546.483758097075,10715,578.911442183074,7991,7859,2471.83891353318,7778,2661.08459584618,1925.35515543611,2082.1731536631,4.52316995136403,4.59670409313596,352.316995136403,359.670409313596
2012,1,"2012-T1","2","Fundamental incompleto ou equivalente",79327,73189,792.910752973352,70317,837.371930865089,7991,7859,2471.83891353318,7778,2661.08459584618,1678.92816055983,1823.71266498109,3.11742387685371,3.17790040215106,211.742387685371,217.790040215106
2012,1,"2012-T1","3","Fundamental completo ou equivalente",24870,23491,939.08191814103,22919,994.361599711106,7991,7859,2471.83891353318,7778,2661.08459584618,1532.75699539215,1666.72299613507,2.63218667699016,2.67617393573858,163.218667699016,167.617393573858
2012,1,"2012-T1","4","Medio incompleto ou equivalente",14453,13480,848.317299797128,13125,899.869174459099,7991,7859,2471.83891353318,7778,2661.08459584618,1623.52161373605,1761.21542138708,2.91381410484534,2.95719052432897,191.381410484534,195.719052432897
2012,1,"2012-T1","5","Medio completo ou equivalente",57565,56023,1150.70232438326,55229,1239.06185084291,7991,7859,2471.83891353318,7778,2661.08459584618,1321.13658914992,1422.02274500327,2.14811325323255,2.14766082422431,114.811325323255,114.766082422431
2012,1,"2012-T1","6","Superior incompleto ou equivalente",7937,7736,1468.44863286443,7644,1602.42463283717,7991,7859,2471.83891353318,7778,2661.08459584618,1003.39028066875,1058.65996300901,1.68329954362209,1.66066131368351,68.329954362209,66.0661313683505
2012,1,"2012-T1","7","Superior completo",16201,16058,3608.4262733418,15910,3883.93127293774,7991,7859,2471.83891353318,7778,2661.08459584618,-1136.58735980862,-1222.84667709157,0.685018544453726,0.685152338917,-31.4981455546274,-31.4847661083
2012,2,"2012-T2","1","Sem instrucao e menos de 1 ano de estudo",11837,10402,536.536014972,9708,552.539037767056,8098,7948,2509.9769601851,7880,2516.58145570341,1973.44094521311,1964.04241793635,4.67811459090234,4.55457675148805,367.811459090234,355.457675148805
2012,2,"2012-T2","2","Fundamental incompleto ou equivalente",80847,73251,805.240333642373,70696,813.467897923301,8098,7948,2509.9769601851,7880,2516.58145570341,1704.73662654273,1703.11355778011,3.11705320178341,3.09364568918821,211.705320178341,209.364568918821
2012,2,"2012-T2","3","Fundamental completo ou equivalente",25500,23827,950.184455735321,23363,952.348967136637,8098,7948,2509.9769601851,7880,2516.58145570341,1559.79250444978,1564.23248856677,2.64156811346983,2.64249927552276,164.156811346983,164.249927552276
2012,2,"2012-T2","4","Medio incompleto ou equivalente",14811,13640,881.151214299514,13343,879.615492301185,8098,7948,2509.9769601851,7880,2516.58145570341,1628.82574588559,1636.96596340223,2.84852011715203,2.86100174193126,184.852011715203,186.100174193126
2012,2,"2012-T2","5","Medio completo ou equivalente",58539,56741,1160.65394033167,56077,1163.94024188254,8098,7948,2509.9769601851,7880,2516.58145570341,1349.32301985344,1352.64121382087,2.16255411967831,2.16212256020389,116.255411967831,116.212256020389
2012,2,"2012-T2","6","Superior incompleto ou equivalente",7963,7735,1487.46746607623,7655,1494.52419934172,8098,7948,2509.9769601851,7880,2516.58145570341,1022.50949410888,1022.05725636169,1.68741637543585,1.68386798742494,68.7416375435854,68.3867987424942
2012,2,"2012-T2","7","Superior completo",16669,16513,3681.97892205002,16386,3704.85067449863,8098,7948,2509.9769601851,7880,2516.58145570341,-1172.00196186491,-1188.26921879522,0.681692376117032,0.67926663631159,-31.8307623882968,-32.073336368841
2012,3,"2012-T3","1","Sem instrucao e menos de 1 ano de estudo",11243,9853,560.129799114642,9376,564.984137675849,8038,7884,2625.34515098094,7842,2629.47108463938,2065.2153518663,2064.48694696353,4.68702996185998,4.65406178562131,368.702996185998,365.406178562131
2012,3,"2012-T3","2","Fundamental incompleto ou equivalente",80089,72374,818.984702319124,70175,820.927157804106,8038,7884,2625.34515098094,7842,2629.47108463938,1806.36044866181,1808.54392683527,3.20560951083303,3.2030504285824,220.560951083303,220.30504285824
2012,3,"2012-T3","3","Fundamental completo ou equivalente",25907,24280,978.679944080337,23926,982.487905382631,8038,7884,2625.34515098094,7842,2629.47108463938,1646.6652069006,1646.98317925675,2.6825369896059,2.67633939332345,168.25369896059,167.633939332345
2012,3,"2012-T3","4","Medio incompleto ou equivalente",14643,13490,864.13085323952,13255,864.386367477704,8038,7884,2625.34515098094,7842,2629.47108463938,1761.21429774142,1765.08471716167,3.03813379783726,3.04200897141891,203.813379783726,204.200897141891
2012,3,"2012-T3","5","Medio completo ou equivalente",58245,56408,1170.19521100715,55868,1171.05513695821,8038,7884,2625.34515098094,7842,2629.47108463938,1455.14993997379,1458.41594768117,2.24351042141198,2.24538623473304,124.351042141198,124.538623473304
2012,3,"2012-T3","6","Superior incompleto ou equivalente",7973,7750,1493.99530107327,7696,1495.98070395099,8038,7884,2625.34515098094,7842,2629.47108463938,1131.34984990767,1133.49038068838,1.75726466414916,1.7576905087711,75.7264664149162,75.7690508771105
2012,3,"2012-T3","7","Superior completo",16616,16451,3704.864068351,16370,3734.30932158192,8038,7884,2625.34515098094,7842,2629.47108463938,-1079.51891737006,-1104.83823694254,0.708621180843878,0.704138532242822,-29.1378819156122,-29.5861467757178
2012,4,"2012-T4","1","Sem instrucao e menos de 1 ano de estudo",10826,9554,582.347822433679,8977,591.294794501532,8113,7962,2553.27721661266,7911,2582.89842761742,1970.92939417898,1991.60363311589,4.38445396076576,4.36820762103079,338.445396076576,336.820762103079
2012,4,"2012-T4","2","Fundamental incompleto ou equivalente",79782,72457,840.839082976432,70113,852.304224208766,8113,7962,2553.27721661266,7911,2582.89842761742,1712.43813363623,1730.59420340866,3.03658246661713,3.03048882576553,203.658246661713,203.048882576553
2012,4,"2012-T4","3","Fundamental completo ou equivalente",25504,23882,998.393134137843,23493,1009.80423214068,8113,7962,2553.27721661266,7911,2582.89842761742,1554.88408247482,1573.09419547674,2.55738659382662,2.55782095717894,155.738659382662,155.782095717894
2012,4,"2012-T4","4","Medio incompleto ou equivalente",14405,13274,907.708514427366,13005,916.316969034682,8113,7962,2553.27721661266,7911,2582.89842761742,1645.56870218529,1666.58145858274,2.81288230310742,2.81878270827882,181.288230310742,181.878270827882
2012,4,"2012-T4","5","Medio completo ou equivalente",57718,55988,1191.26569528408,55422,1207.83911694916,8113,7962,2553.27721661266,7911,2582.89842761742,1362.01152132858,1375.05931066826,2.14333143875496,2.13844575107111,114.333143875496,113.844575107111
2012,4,"2012-T4","6","Superior incompleto ou equivalente",7621,7437,1515.70465590836,7376,1545.19744716613,8113,7962,2553.27721661266,7911,2582.89842761742,1037.5725607043,1037.70098045129,1.68454798014887,1.67156529565488,68.4547980148871,67.1565295654882
2012,4,"2012-T4","7","Superior completo",16387,16229,3689.53573108727,16148,3731.03657178937,8113,7962,2553.27721661266,7911,2582.89842761742,-1136.25851447461,-1148.13814417195,0.692032115341578,0.692273682640074,-30.7967884658422,-30.7726317359926
2013,1,"2013-T1","1","Sem instrucao e menos de 1 ano de estudo",10740,9502,594.815560422483,8876,627.498018617269,8548,8383,2604.422297793,8319,2763.41535581108,2009.60673737052,2135.91733719382,4.37853760238407,4.40386307816627,337.853760238407,340.386307816627
2013,1,"2013-T1","2","Fundamental incompleto ou equivalente",78258,71241,866.197756857895,68430,904.52341083146,8548,8383,2604.422297793,8319,2763.41535581108,1738.2245409351,1858.89194497962,3.00672944160056,3.05510650439759,200.672944160056,205.510650439759
2013,1,"2013-T1","3","Fundamental completo ou equivalente",25367,23756,1032.61714107708,23242,1075.09657589497,8548,8383,2604.422297793,8319,2763.41535581108,1571.80515671592,1688.31877991611,2.52215675509361,2.57038801701202,152.215675509361,157.038801701202
2013,1,"2013-T1","4","Medio incompleto ou equivalente",14125,12980,938.326501246945,12625,980.669759843908,8548,8383,2604.422297793,8319,2763.41535581108,1666.09579654605,1782.74559596718,2.77560347526365,2.81788576436877,177.560347526365,181.788576436877
2013,1,"2013-T1","5","Medio completo ou equivalente",59401,57442,1223.98558450781,56683,1295.32833887836,8548,8383,2604.422297793,8319,2763.41535581108,1380.43671328519,1468.08701693272,2.12782105504968,2.13337056935229,112.782105504968,113.337056935229
2013,1,"2013-T1","6","Superior incompleto ou equivalente",8136,7918,1490.64407140596,7809,1591.44596198779,8548,8383,2604.422297793,8319,2763.41535581108,1113.77822638703,1171.96939382329,1.74717918767592,1.73641796317071,74.717918767592,73.6417963170707
2013,1,"2013-T1","7","Superior completo",17160,16981,3807.13206118636,16866,3986.20436744353,8548,8383,2604.422297793,8319,2763.41535581108,-1202.70976339336,-1222.78901163245,0.684090348308386,0.693244776504859,-31.5909651691614,-30.6755223495141
2013,2,"2013-T2","1","Sem instrucao e menos de 1 ano de estudo",11088,9742,600.206657853412,9160,606.555651593156,8480,8317,2714.92299923615,8275,2720.84362252848,2114.71634138274,2114.28797093532,4.52331370156046,4.48572792188486,352.331370156046,348.572792188486
2013,2,"2013-T2","2","Fundamental incompleto ou equivalente",80022,72675,882.031902027145,70353,891.271385673151,8480,8317,2714.92299923615,8275,2720.84362252848,1832.89109720901,1829.57223685533,3.07803265731833,3.05276671759579,207.803265731833,205.276671759579
2013,2,"2013-T2","3","Fundamental completo ou equivalente",25486,23868,1039.38010549563,23446,1045.44817566372,8480,8317,2714.92299923615,8275,2720.84362252848,1675.54289374053,1675.39544686476,2.6120598084197,2.60256193072518,161.20598084197,160.256193072518
2013,2,"2013-T2","4","Medio incompleto ou equivalente",14589,13458,958.388143562704,13207,958.428231360553,8480,8317,2714.92299923615,8275,2720.84362252848,1756.53485567345,1762.41539116793,2.83280111244252,2.83886005597525,183.280111244252,183.886005597525
2013,2,"2013-T2","5","Medio completo ou equivalente",60473,58545,1268.87323672529,57909,1274.33412793469,8480,8317,2714.92299923615,8275,2720.84362252848,1446.04976251086,1446.50949459379,2.13963295990294,2.13511006484472,113.963295990294,113.511006484472
2013,2,"2013-T2","6","Superior incompleto ou equivalente",8192,7982,1571.69744329439,7924,1570.66020398266,8480,8317,2714.92299923615,8275,2720.84362252848,1143.22555594177,1150.18341854582,1.72738271657774,1.73229296548633,72.7382716577744,73.2292965486326
2013,2,"2013-T2","7","Superior completo",17410,17234,3883.06731466337,17164,3879.9193442869,8480,8317,2714.92299923615,8275,2720.84362252848,-1168.14431542722,-1159.07572175842,0.699169697363722,0.701262933863527,-30.0830302636278,-29.8737066136473
2013,3,"2013-T3","1","Sem instrucao e menos de 1 ano de estudo",11332,9939,622.447714360834,9392,635.200300252445,8421,8262,2761.6015257848,8222,2762.90789475022,2139.15381142397,2127.70759449777,4.43668032200999,4.34966402511486,343.668032200999,334.966402511486
2013,3,"2013-T3","2","Fundamental incompleto ou equivalente",79665,72396,909.25289580346,70339,914.832437781647,8421,8262,2761.6015257848,8222,2762.90789475022,1852.34862998134,1848.07545696857,3.03722049006456,3.02012453936365,203.722049006456,202.012453936365
2013,3,"2013-T3","3","Fundamental completo ou equivalente",26124,24588,1070.69662098768,24221,1073.04825196087,8421,8262,2761.6015257848,8222,2762.90789475022,1690.90490479712,1689.85964278935,2.57925678633161,2.57482167246564,157.925678633161,157.482167246564
2013,3,"2013-T3","4","Medio incompleto ou equivalente",14890,13742,961.772315461775,13523,962.235744600087,8421,8262,2761.6015257848,8222,2762.90789475022,1799.82921032303,1800.67215015013,2.87136724710035,2.87134198688338,187.136724710035,187.134198688338
2013,3,"2013-T3","5","Medio completo ou equivalente",60795,59007,1279.05829516755,58433,1279.75055808929,8421,8262,2761.6015257848,8222,2762.90789475022,1482.54323061726,1483.15733666093,2.15908964917276,2.15894251991993,115.908964917276,115.894251991993
2013,3,"2013-T3","6","Superior incompleto ou equivalente",8004,7801,1611.29937356202,7754,1612.8046197093,8421,8262,2761.6015257848,8222,2762.90789475022,1150.30215222279,1150.10327504092,1.71389722549192,1.71310762691653,71.3897225491916,71.3107626916533
2013,3,"2013-T3","7","Superior completo",17509,17342,3950.98728371372,17266,3964.95014351603,8421,8262,2761.6015257848,8222,2762.90789475022,-1189.38575792892,-1202.04224876581,0.698964923822544,0.696832947387363,-30.1035076177456,-30.3167052612637
